Date;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection;Population;Infections
11/02/2020;0;0;0.00;0.00;100.00;66990000;11
10/02/2020;0;0;0.00;0.00;100.00;66990000;11
09/02/2020;0;0;0.00;0.00;100.00;66990000;11
08/02/2020;0;0;0.00;0.00;100.00;66990000;11
07/02/2020;0;0;0.00;0.00;100.00;66990000;6
06/02/2020;0;0;0.00;0.00;100.00;66990000;6
05/02/2020;0;0;0.00;0.00;100.00;66990000;6
04/02/2020;0;0;0.00;0.00;100.00;66990000;6
03/02/2020;0;0;0.00;0.00;100.00;66990000;6
02/02/2020;0;0;0.00;0.00;100.00;66990000;6
01/02/2020;0;0;0.00;0.00;100.00;66990000;6
31/01/2020;0;0;0.00;0.00;100.00;66990000;5
30/01/2020;0;0;0.00;0.00;100.00;66990000;5
29/01/2020;0;0;0.00;0.00;100.00;66990000;5
28/01/2020;0;0;0.00;0.00;100.00;66990000;4
27/01/2020;0;0;0.00;0.00;100.00;66990000;3
26/01/2020;0;0;0.00;0.00;100.00;66990000;3
25/01/2020;0;0;0.00;0.00;100.00;66990000;3
24/01/2020;0;0;0.00;0.00;100.00;66990000;2
